Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
21;25/09/2019;21:30;Quarta-feira;Bahia;Botafogo-RJ;Bahia;Fonte Nova;2;0;BA;RJ;BA
21;25/09/2019;21:30;Quarta-feira;Flamengo;Internacional;Flamengo;Maracanã;3;1;RJ;RS;RJ
21;25/09/2019;21:30;Quarta-feira;São Paulo;Goiás;Goiás;Morumbi;0;1;SP;GO;GO
21;26/09/2019;20:00;Quinta-feira;Fluminense;Santos;-;Maracanã;1;1;RJ;SP;-
21;26/09/2019;21:30;Quinta-feira;Athlético-PR;Fortaleza;Athlético-PR;Arena da Baixada;4;1;PR;CE;PR
21;26/09/2019;20:00;Quinta-feira;Grêmio;Avaí;Grêmio;Arena do Grêmio;6;1;RS;SC;RS
21;26/09/2019;19:15;Quinta-feira;Palmeiras;CSA;Palmeiras;Pacaembu;6;2;SP;AL;SP
22;28/09/2019;19:00;Sábado;Flamengo;São Paulo;-;Maracanã;0;0;RJ;SP;-
22;29/09/2019;19:00;Domingo;Athlético-PR;Chapecoense;-;Arena da Baixada;1;1;PR;SC;-
22;29/09/2019;16:00;Domingo;Internacional;Palmeiras;-;Beira Rio;1;1;RS;SP;-
22;29/09/2019;19:00;Domingo;Atlético-MG;Ceará;Atlético-MG;Independência;2;1;MG;CE;MG
22;29/09/2019;11:00;Domingo;Corinthians;Vasco;Corinthians;Arena Corinthians;1;0;SP;RJ;SP
22;29/09/2019;16:00;Domingo;Fluminense;Grêmio;Fluminense;Maracanã;2;1;RJ;RS;RJ
22;29/09/2019;16:00;Domingo;Santos;CSA;Santos;Vila Belmiro;2;0;SP;AL;SP
22;30/09/2019;20:00;Segunda-feira;Avaí;Bahia;Bahia;Ressacada;0;2;SC;BA;BA
22;30/09/2019;20:00;Segunda-feira;Fortaleza;Botafogo-RJ;Fortaleza;Castelão;1;0;CE;RJ;CE
22;30/09/2019;20:00;Segunda-feira;Goiás;Cruzeiro;Goiás;Serra Dourada;1;0;GO;MG;GO
21;02/10/2019;19:15;Quarta-feira;Chapecoense;Corinthians;Corinthians;Arena Condá;0;1;SC;SP;SP
21;02/10/2019;19:15;Quarta-feira;Atlético-MG;Vasco;Vasco;Arena Condá;1;2;MG;RJ;RJ
23;05/10/2019;19:00;Sábado;Grêmio;Corinthians;-;Arena do Grêmio;0;0;RS;SP;-
23;05/10/2019;21:00;Sábado;Cruzeiro;Internacional;-;Mineirão;1;1;MG;RS;-
23;05/10/2019;19:00;Sábado;Bahia;Athlético-PR;Athlético-PR;Fonte Nova;1;2;BA;PR;PR
23;05/10/2019;17:00;Sábado;Vasco;Santos;Santos;São Januário;0;1;RJ;SP;SP
23;05/10/2019;17:00;Sábado;São Paulo;Fortaleza;São Paulo;Pacaembu;2;1;SP;CE;SP
23;06/10/2019;16:00;Domingo;Palmeiras;Atlético-MG;-;Allianz Parque;1;1;SP;MG;-
23;06/10/2019;19:00;Domingo;CSA;Avaí;CSA;Rei Pelé;3;1;AL;SC;AL
23;06/10/2019;11:00;Domingo;Chapecoense;Flamengo;Flamengo;Arena Condá;0;1;SC;RJ;RJ
23;06/10/2019;16:00;Domingo;Botafogo-RJ;Fluminense;Fluminense;Estrela Solitária;0;1;RJ;RJ;RJ
23;06/10/2019;16:00;Domingo;Ceará;Goiás;Goiás;Castelão;0;1;CE;GO;GO
24;09/10/2019;21:30;Quarta-feira;Cruzeiro;Fluminense;-;Mineirão;0;0;MG;RJ;-
